jabberwock,7894561230,12345,6,2000,
slimShadie,7799779977,10000,8,2000,
slabberdoo,5555229292,65000,5,2000,
steini,1234123412,1234,6,2000,
flumgastoob,9997775552,18882,7,2000,
steini,1234123412,1234,5,2000,
steini,1234123412,1234,4,2000,
flumgastoob,9997775552,18882,6,2000,
flumgastoob,9997775552,18882,4,2000,
steini,1234123412,1234,2,2000,
steini,1234123412,1234,3,2000,
jabberwock,7894561230,12345,1,2000,
slimShadie,7799779977,10000,2,2000,
flumgastoob,9997775552,18882,5,2000,
flumgastoob,9997775552,18882,1,2000,
steini,1234123412,1234,7,2000,
slimShadie,7799779977,10000,7,2000,
flumgastoob,9997775552,18882,3,2000,
jabberwock,7894561230,12345,5,2000,
slimShadie,7799779977,10000,9,2000,
slimShadie,7799779977,10000,6,2000,
slimShadie,7799779977,10000,3,2000,
slimShadie,7799779977,10000,10,2000,
jabberwock,7894561230,12345,4,2000,
slimShadie,7799779977,10000,4,2000,
jabberwock,7894561230,12345,2,2000,
flumgastoob,9997775552,18882,2,2000,
slimShadie,7799779977,10000,1,2000,
steini,1234123412,1234,1,2000,
slimShadie,7799779977,10000,5,2000,
jabberwock,7894561230,12345,3,2000,
